file_id,file_name,agreement_rate,overall_confidence,text_source,rescued_text_path,policy_name,policy_type,gov_level,policy_intensity,policy_tone,regulatory_stringency,policy_objective_level,issuing_authority,policy_tools,pollutant_types,target_industries,implementation_mechanism,referenced_policies,quantitative_targets,innovation_points,penalty_provisions,vertical_coordination,n_tools,n_pollutants,n_industries,n_impl,n_refs,n_targets,has_penalty,has_vertical_coordination,relative_path,inferred_year,inferred_level,inferred_doc_family,page_count,char_count,doc_family_cn,rescue_flag,tool_命令控制型,tool_信息公开型,tool_经济激励型,tool_市场机制型,tool_自愿型
11,11_中华人民共和国水污染防治法_2017修正.pdf,0.618,0.618,pdfplumber,,中华人民共和国水污染防治法（节选第四章至第六章）,法律,中央,强制性,严厉,5,产出型,全国人民代表大会常务委员会,"[""命令控制型"", ""信息公开型""]","[""水污染物""]","[""工业"", ""农业"", ""船舶运输"", ""城镇污水处理""]","[""排污许可制度""]","[""中华人民共和国环境保护法""]","[""未设定具体数值目标""]","""建立生态环境损害赔偿制度并实行举证责任倒置（第98条）；强化饮用水水源保护（一级、二级、准保护区分类管控，第84条）；与环境保护法衔接引入行政拘留（依据第101条依法追究刑事责任，原文节选未显示具体拘留条款）""",违法排污最高罚款100万元（第83条、第85条）；在饮用水水源保护区设置排污口逾期不拆除的处50-100万元罚款（第84条）；向水体排放油类、酸液、碱液或剧毒废液的处10-100万元罚款，情节严重责令停业关闭（第85条）；建设不符合国家产业政策的严重污染项目由市县政府责令关闭（第87条）；污泥处理不符合标准的处10-20万元罚款（第88条）；船舶违法排放处1-10万元罚款，造成水污染的处2-20万元罚款（第90条）,是，明确划分各级政府职责权限，如责令关闭需报经有批准权的人民政府批准（第83条），市县级政府负责关闭严重污染项目（第87条），环保部门负责日常监管与处罚（第80-82条），建立分级负责的执法体系,2,1,4,1,1,1,1,1,预调研/政策文件/11_中华人民共和国水污染防治法_2017修正.pdf,2017,central,law,36,29765,法律,原生文本,1,1,0,0,0
12,12_中华人民共和国大气污染防治法_2018修正.pdf,0.66,0.66,pdfplumber,,中华人民共和国大气污染防治法（节选：重点区域大气污染联合防治、重污染天气应对、法律责任章节）,法律,中央,强制性,严厉,5,产出型,全国人民代表大会常务委员会,"[""命令控制型"", ""经济激励型"", ""信息公开型"", ""市场机制型""]","[""大气污染物""]","[""电力"", ""交通运输"", ""建筑施工"", ""工业"", ""农业"", ""石油化工""]","[""排污许可制度"", ""区域联防联控"", ""总量控制"", ""目标责任考核"", ""环评审批""]","[""中华人民共和国环境保护法""]","[""未设定具体数值目标""]","""明确以改善大气环境质量为目标，坚持源头治理；对颗粒物、二氧化硫、氮氧化物、挥发性有机物、氨等大气污染物和温室气体实施协同控制；国家逐步推行重点大气污染物排污权交易""",处罚条款广泛且严厉，涵盖拒绝检查、无证排污、超标排污、监测数据造假、使用不合格燃料、违法施工扬尘、违法餐饮油烟排放、违法露天焚烧、不执行应急措施等。罚款金额从数百元至数百万元不等，并设按日连续处罚、责令停产整治、停业关闭等。对造成污染事故的，按直接损失1-5倍罚款。,是，明确划分国务院、省级、城市、县级人民政府职责，要求地方制定配套实施细则（如划定高污染燃料禁燃区、禁止使用高排放非道路移动机械区域等），建立目标考核机制,4,1,6,5,1,1,1,1,预调研/政策文件/12_中华人民共和国大气污染防治法_2018修正.pdf,2018,central,law,41,33400,法律,原生文本,1,1,1,1,0
13,13_中华人民共和国固体废物污染环境防治法_2020修订.pdf,0.686,0.686,pdfplumber,,中华人民共和国固体废物污染环境防治法（2020年修订）,法律,中央,强制性,严厉,5,产出型,全国人民代表大会常务委员会,"[""命令控制型"", ""信息公开型"", ""经济激励型"", ""自愿型""]","[""固体废物"", ""危险废物""]","[""工业"", ""农业"", ""建筑业""]","[""排污许可制度""]","[""中华人民共和国环境保护法""]","[""未设定具体数值目标""]","""确立生活垃圾分类制度；强化产生者责任延伸制度，要求委托他人运输、利用、处置工业固体废物的单位对受托方进行核实并承担连带责任；明确提出国家逐步实现固体废物零进口；建立全国危险废物等固体废物污染环境防治信息平台，推进全过程监控和信息化追溯。""",罚款金额从个人100-500元到单位最高500万元不等；按日连续处罚；对严重违法行为可责令停业、关闭；对责任人可处以拘留；对污染事故按直接经济损失1-5倍罚款；危险废物无证经营最高罚500万元；境外固体废物输入最高罚500万元。,是，明确地方各级人民政府对本行政区域防治工作负责，实行目标责任制和考核评价制度，要求县级以上政府将防治工作纳入国民经济和社会发展规划、生态环境保护规划，并鼓励省级政府间建立联防联控机制。,4,2,3,1,1,1,1,1,预调研/政策文件/13_中华人民共和国固体废物污染环境防治法_2020修订.pdf,2020,central,law,42,33956,法律,原生文本,1,1,1,0,1
14,14_中华人民共和国环境噪声污染防治法_2018修正.pdf,0.598,0.598,pdfplumber,,中华人民共和国环境噪声污染防治法（2018修正）,法律,中央,强制性,严厉,4,产出型,全国人民代表大会常务委员会,"[""命令控制型"", ""经济激励型"", ""信息公开型""]","[""噪声""]","[""工业"", ""建筑施工"", ""交通运输"", ""社会生活""]","[""环评审批"", ""限期治理制度"", ""现场检查制度"", ""排污许可制度"", ""三同时制度""]","[""中华人民共和国环境保护法"", ""中华人民共和国环境噪声污染防治条例（已废止）""]","[""未设定具体数值目标""]","""按噪声源（工业、建筑施工、交通运输、社会生活）分章规定防治措施，构建了相对完整的噪声污染防治法律框架；明确了多部门（生态环境、公安、交通、铁路、民航等）协同监管机制。""",对违反环评‘三同时’、拒报谎报申报事项、擅自拆除闲置防治设施、不缴纳超标排污费、逾期未完成限期治理等行为，由生态环境主管部门等责令改正、警告、罚款；情节严重的可责令停业、搬迁、关闭；公安机关对特定社会生活噪声违法行为进行处罚。,是，明确国务院生态环境主管部门统一监督管理，县级以上地方人民政府生态环境主管部门对本行政区域实施统一监督管理，并要求地方划定声环境质量标准适用区域、制定配套措施。,3,1,4,5,2,1,1,1,预调研/政策文件/14_中华人民共和国环境噪声污染防治法_2018修正.pdf,2018,central,law,19,14824,法律,原生文本,1,1,1,0,0
15,15_中华人民共和国土壤污染防治法_2018公布.pdf,0.67,0.67,pdfplumber,,中华人民共和国土壤污染防治法,法律,中央,强制性,严厉,5,产出型,全国人民代表大会常务委员会,"[""命令控制型"", ""信息公开型"", ""经济激励型"", ""自愿型""]","[""土壤污染物""]","[""工业"", ""农业""]","[""排污许可制度"", ""土壤环境监测制度"", ""土壤污染风险管控和修复名录制度"", ""农用地分类管理制度""]","[""中华人民共和国环境保护法""]","[""未设定具体数值目标""]","""['首创农用地分类管理制度（优先保护类、安全利用类、严格管控类）', '建立建设用地土壤污染风险管控和修复名录制度', '确立土壤污染责任人认定与费用承担机制（谁污染谁治理）', '设立土壤污染防治基金解决历史遗留问题', '建立住宅用地土壤污染状况调查制度保障人居环境安全']""",罚款金额从一万元至二百万元不等，涵盖多种违法行为；对拒不改正者可责令停产整治、按日连续处罚（隐含）、委托他人代为履行并承担费用；对个人可处行政拘留；没收违法所得；对出具虚假报告的单位可禁止从业，对责任人可终身禁业；构成犯罪的追究刑事责任。,是，实行土壤污染防治目标责任制和考核评价制度，将土壤污染防治目标完成情况作为考核评价地方各级人民政府及其负责人、县级以上人民政府负有土壤污染防治监督管理职责的部门及其负责人的内容，明确划分国务院生态环境主管部门与地方生态环境主管部门的职责分工,4,1,2,4,1,1,1,1,预调研/政策文件/15_中华人民共和国土壤污染防治法_2018公布.pdf,2018,central,law,31,23941,法律,原生文本,1,1,1,0,1
16,16_中华人民共和国海洋环境保护法_2023修订.pdf,0.525,0.525,pdfplumber,,中华人民共和国海洋环境保护法（节选：第四四章至第七七章）,法律,中央,强制性,严厉,5,产出型,全国人民代表大会常务委员会,"[""命令控制型"", ""经济激励型"", ""信息公开型""]","[""海洋污染物"", ""固体废物"", ""水污染物""]","[""渔业"", ""工业""]","[""环评审批"", ""排污许可制度""]","[""中华人民共和国环境保护法"", ""中华人民共和国宪法"", ""中华人民共和国固体废物污染环境防治法""]","[""未设定具体数值目标""]","""首次建立企业事业单位信用记录与评价应用制度，将相关信用记录纳入全国公共信用信息共享平台；建立健全海洋生态保护补偿制度；强化陆海统筹、区域联动的海洋环境监督管理制度；建立重大海上溢油应急处置部际联席会议制度""",对造成或可能造成严重海洋环境污染、生态破坏的，或有关证据可能灭失或被隐匿的，监管部门可查封、扣押有关船舶、设施、设备、物品；设有专章规定法律责任，对违法行为依法追究法律责任,是，第121条明确划分央地职权，规定沿海县级以上地方人民政府行使海洋环境监督管理权的部门的职责由省、自治区、直辖市人民政府根据本法及国务院有关规定确定，要求地方制定配套规定，建立目标考核问责机制,3,3,2,2,3,1,1,1,预调研/政策文件/16_中华人民共和国海洋环境保护法_2023修订.pdf,2023,central,law,40,31839,法律,原生文本,1,1,1,0,0
17,17_中华人民共和国长江保护法_2020公布.pdf,0.64,0.64,pdfplumber,,中华人民共和国长江保护法,法律,中央,强制性,严厉,5,产出型,全国人民代表大会常务委员会,"[""命令控制型"", ""经济激励型"", ""信息公开型"", ""自愿型""]","[""水污染物"", ""固体废物"", ""综合""]","[""农业"", ""化工"", ""渔业"", ""交通运输""]","[""排污许可制度""]","[""中华人民共和国环境保护法"", ""中华人民共和国水污染防治法"", ""中华人民共和国渔业法""]","[""未设定具体数值目标""]","""建立长江流域协调机制，统筹协调跨地区跨部门重大事项；设立河湖长制；建立长江流域信息共享系统；建立长江流域突发生态环境事件应急联动工作机制；建立长江流域危险货物运输船舶污染责任保险与财务担保相结合机制；建立水生生物完整性指数评价体系""",对非法捕捞、非法占用岸线、违规建设化工项目及尾矿库、超标排放含磷水污染物、非法采砂、非法运输危险化学品等行为设定了没收违法所得、高额罚款（最高五百万元）、责令关闭、吊销许可证等处罚；对公职人员违法行为依法给予处分；构成犯罪的追究刑事责任。,是，建立国家长江流域协调机制统一指导协调；明确国务院有关部门、长江流域省级及以下地方各级人民政府职责；要求地方制定生态环境分区管控方案和准入清单、总磷污染控制方案等配套措施；设立目标责任与考核问责机制。,4,3,4,1,3,1,1,1,预调研/政策文件/17_中华人民共和国长江保护法_2020公布.pdf,2020,central,law,29,22999,法律,原生文本,1,1,1,0,1
18,18_中华人民共和国黄河保护法_2022公布.pdf,0.674,0.674,pdfplumber,,中华人民共和国黄河保护法,法律,中央,强制性,严厉,5,结果型,全国人民代表大会常务委员会,"[""命令控制型"", ""经济激励型"", ""信息公开型"", ""市场机制型"", ""自愿型""]","[""水污染物"", ""固体废物"", ""综合""]","[""工业"", ""农业"", ""化工"", ""能源""]","[""目标责任考核""]","[""中华人民共和国环境保护法"", ""中华人民共和国水法"", ""中华人民共和国水土保持法""]","[""未设定具体数值目标""]","""首次在法律层面建立黄河流域水资源差别化管理制度（超载、临界超载、不超载地区分类管理）；建立高耗水产业准入负面清单和淘汰类目录制度；构建包含阶梯水价、高额累进加价、超定额累进加价等在内的促进节水的水价体系；实行强制性用水定额管理制度；强调水沙统一调度与防洪安全协同""",在黄河干支流岸线管控范围内违规建设化工园区、化工项目或尾矿库，处五十万元以上五百万元以下罚款，对直接负责人员处五万元以上十万元以下罚款；逾期不拆除或者不恢复原状的，强制拆除或者代为恢复原状；情节严重的，责令关闭；对政府工作人员给予警告至开除处分，主要负责人应引咎辞职；取水单位未安装在线计量设施或设施不合格逾期不改正的，按日最大取水能力计征相关费用；构成犯罪的追究刑事责任,是，明确划分国务院水行政主管部门、黄河流域管理机构、省级、设区的市、县级人民政府职责，实行分级管理、分级负责；要求地方制定水量分配方案、地下水控制指标等报上级备案；建立水资源统一调度机制和评估体系,5,3,4,1,3,1,1,1,预调研/政策文件/18_中华人民共和国黄河保护法_2022公布.pdf,2022,central,law,36,29063,法律,原生文本,1,1,1,1,1
19,19_中华人民共和国湿地保护法_2021公布.pdf,0.57,0.57,pdfplumber,,中华人民共和国湿地保护法,法律,中央,强制性,严厉,5,过程型,全国人民代表大会常务委员会,"[""命令控制型"", ""经济激励型"", ""信息公开型"", ""自愿型""]","[""综合""]","[""农业""]","[""湿地分级管理"", ""生态补偿"", ""监督检查"", ""湿地分级管理及名录制度"", ""湿地面积总量管控制度"", ""目标责任考核"", ""湿地名录制度""]","[""中华人民共和国土地管理法"", ""中华人民共和国森林法"", ""中华人民共和国草原法"", ""中华人民共和国水法"", ""中华人民共和国海域使用管理法"", ""中华人民共和国长江保护法"", ""中华人民共和国环境保护法"", ""中华人民共和国生物安全法"", ""中华人民共和国防洪法"", ""中华人民共和国水污染防治法"", ""中华人民共和国海洋环境保护法"", ""中华人民共和国渔业法""]","[""未设定具体数值目标""]","""中国首部专门针对湿地保护的法律；确立了“保护优先、严格管理、系统治理、科学修复、合理利用”的原则；建立了湿地分级管理、名录、面积总量管控、生态补偿等系统性制度；设定了针对红树林、泥炭沼泽等特定类型湿地的特别保护条款。""",擅自占用国家重要湿地按每平方米一千元以上一万元以下罚款；开（围）垦、填埋自然湿地按每平方米五百元以上五千元以下罚款（破坏国家重要湿地的每平方米一千元以上一万元以下）；排干湿地或永久性截断水源处五万元以上五十万元以下罚款，造成严重后果的处五十万元以上一百万元以下罚款；未按期修复的由主管部门委托他人代为履行，费用由违法者承担,是，明确国务院与地方各级人民政府职责，要求地方制定湿地保护规划、落实面积总量管控目标，建立目标责任制并纳入地方综合绩效评价和领导干部自然资源资产离任审计，对工作不力地区实施约谈。,4,1,1,7,12,1,1,1,预调研/政策文件/19_中华人民共和国湿地保护法_2021公布.pdf,2021,central,law,20,14914,法律,原生文本,1,1,1,0,1
20,20_中华人民共和国清洁生产促进法_2012修正.pdf,0.605,0.605,pdfplumber,,中华人民共和国清洁生产促进法（2012年修正）,法律,中央,强制性,中性,4,过程型,全国人民代表大会常务委员会,"[""命令控制型"", ""经济激励型"", ""信息公开型"", ""自愿型""]","[""综合""]","[""工业"", ""农业"", ""建筑业"", ""服务业""]","[""信息公开与公众监督"", ""限期淘汰制度""]","[""中华人民共和国产品质量法"", ""中华人民共和国环境保护法""]","[""未设定具体数值目标""]","""确立强制性清洁生产审核与自愿性审核相结合的双轨制；建立清洁生产综合协调部门机制；引入自愿协议制度；要求对原料使用、资源消耗、资源综合利用以及污染物产生与处置等进行分析论证""",未公布能源消耗或重点污染物排放情况且拒不改正的，可处10万元以下罚款；未标注产品材料成分且拒不改正的，可处5万元以下罚款；不实施强制性清洁生产审核或弄虚作假且拒不改正的，处5万元以上50万元以下罚款,是，明确划分各级政府职责，国务院负责全国清洁生产促进工作，县级以上地方人民政府负责本行政区域工作，要求制定地方推行规划并组织落实,4,1,4,2,2,1,1,1,预调研/政策文件/20_中华人民共和国清洁生产促进法_2012修正.pdf,2012,central,law,14,10990,法律,原生文本,1,1,1,0,1
21,21_中华人民共和国环境影响评价法_2018修正.pdf,0.699,0.699,pdfplumber,,中华人民共和国环境影响评价法（2018修正）,法律,中央,强制性,严厉,4,过程型,全国人民代表大会常务委员会,"[""命令控制型"", ""信息公开型"", ""自愿型""]","[""综合""]","[""工业"", ""农业"", ""能源"", ""水利"", ""交通"", ""城市建设"", ""畜牧业"", ""林业"", ""旅游"", ""自然资源开发""]","[""环评审批制度"", ""环评审批"", ""规划环评"", ""分类管理制度"", ""公众参与机制""]","[""中华人民共和国海洋环境保护法"", ""中华人民共和国环境保护法""]","[""未设定具体数值目标""]","""强化了建设单位对环评文件内容和结论的主体责任；建立了环评编制单位和人员的信用档案与失信惩戒机制（纳入全国信用信息共享平台）；简化了部分建设项目环评管理（登记表备案制）；明确了环评文件存在严重质量问题的双重处罚（罚建设单位也罚技术单位及个人）。""",建设单位未依法报批环评文件擅自开工的，处总投资额1%-5%罚款，并可责令恢复原状；环评文件存在严重质量问题的，对建设单位处50-200万元罚款，对相关人员处5-20万元罚款；对技术单位处所收费用3-5倍罚款，情节严重的禁止从业；对编制人员可处五年内或终身禁止从业。对规划编制、审批机关及环评审批部门工作人员失职渎职行为依法给予行政处分或追究刑事责任。,是，明确划分纵向权责：第三十五条授权省、自治区、直辖市人民政府根据本地实际要求对县级人民政府编制的规划进行环评，并由省级政府参照本法第二章制定具体办法；第三十六条授权中央军事委员会制定军事设施建设项目环评办法,3,1,10,5,2,1,1,1,预调研/政策文件/21_中华人民共和国环境影响评价法_2018修正.pdf,2018,central,law,15,12448,法律,原生文本,1,1,0,0,1
22,22_中华人民共和国节约能源法_2018修正.pdf,0.54,0.54,pdfplumber,,中华人民共和国节约能源法（2007年修订）,法律,中央,强制性,严厉,4,过程型,全国人民代表大会常务委员会,"[""命令控制型"", ""经济激励型"", ""信息公开型"", ""自愿型""]","[""综合""]","[""工业"", ""建筑"", ""公共机构"", ""重点用能单位"", ""交通运输"", ""电力"", ""电网企业"", ""节能服务机构""]","[""节能标准体系"", ""重点用能单位管理"", ""能源效率标识管理"", ""固定资产投资项目节能评估和审查制度"", ""能源效率标识管理制度""]","[""中华人民共和国产品质量法"", ""中华人民共和国统计法""]","[""未设定具体数值目标""]","""首次在法律层面系统构建了覆盖能源生产到消费各环节的节能管理制度框架；引入能源效率标识、节能产品认证等市场化和信息化工具；建立重点用能单位分级管理制度；综合运用标准、审查、淘汰、激励（财税、价格、信贷）等多种政策工具。""",生产、进口、销售不符合强制性能源效率标准的用能产品、设备，处违法所得1-5倍罚款，情节严重吊销营业执照；建设单位违反建筑节能标准处20-50万元罚款；使用淘汰设备或超能耗限额情节严重可责令停业整顿或关闭；应当标注能源效率标识而未标注的处3-5万元罚款，未办理备案或标识不符逾期不改正的处1-3万元罚款，伪造冒用能源效率标识处5-10万元罚款；重点用能单位未报送能源利用状况报告或报告不实逾期不改正处1-5万元罚款，拒不落实整改要求处10-30万元罚款,是，明确划分各级政府职责，要求地方制定配套实施细则（如地方节能标准需报国务院批准或备案），设立节能目标责任制和考核评价制度（第6条），要求省级政府向国务院报告节能目标责任履行情况,4,1,8,5,2,1,1,1,预调研/政策文件/22_中华人民共和国节约能源法_2018修正.pdf,2018,central,law,23,17370,法律,原生文本,1,1,1,0,1
23,23_中华人民共和国可再生能源法_2009修正.pdf,0.458,0.458,pdfplumber,,中华人民共和国可再生能源法（2009年修正）,法律,中央,强制性,中性,4,过程型,全国人民代表大会常务委员会,"[""命令控制型"", ""经济激励型"", ""信息公开型"", ""自愿型""]","[""综合""]","[""电力"", ""农业"", ""建筑""]","[""全额保障性收购制度"", ""可再生能源发展基金"", ""总量目标制度"", ""行政许可与备案""]","[""中华人民共和国电力法"", ""中华人民共和国环境保护法""]","[""未设定具体数值目标"", ""未设定具体数值目标，但要求制定可再生能源发电量占全部发电量的比重目标"", ""未设定具体数值目标，仅规定确定可再生能源发电量占全部发电量的比重目标""]","""首次以法律形式确立可再生能源发电全额保障性收购制度；建立可再生能源发展基金及电价附加补偿机制；明确电网企业收购义务和入网费用补偿机制""",电网企业未按规定收购可再生能源电量的，承担赔偿责任并处以损失额一倍以下罚款；经营燃气/热力管网企业不准许符合入网标准的燃气、热力入网的，承担赔偿责任并处以损失额一倍以下罚款；石油销售企业未按规定将生物液体燃料纳入销售体系的，承担赔偿责任并处以损失额一倍以下罚款,是，明确划分国务院能源主管部门与县级以上地方人民政府管理能源工作部门的职责，要求省级政府制定可再生能源开发利用规划并报备案，设立总量目标分解机制,4,1,3,4,2,3,1,1,预调研/政策文件/23_中华人民共和国可再生能源法_2009修正.pdf,2009,central,law,13,10057,法律,原生文本,1,1,1,0,1
24,24_碳排放权交易管理暂行条例_2024公布.pdf,0.587,0.587,pdfplumber,,碳排放权交易管理暂行条例,行政法规,中央,强制性,严厉,5,结果型,国务院,"[""市场机制型"", ""命令控制型"", ""信息公开型""]","[""温室气体""]","[""民用航空""]","[""碳排放配额分配与清缴制度""]","[""中华人民共和国环境保护法"", ""文本未明确引用其他法律法规名称""]","[""未设定具体数值目标""]","""首次以行政法规形式规范全国碳排放权交易；明确禁止新建地方碳市场，实现全国市场统一；建立配额清缴与下一年度配额核减挂钩的处罚机制；规定非化石能源电力消费可相应调整碳排放配额和排放量（第三十一条）；实行技术服务机构同一省域内回避制度（不得同时从事年度排放报告编制和技术审核）""",未清缴配额：处未清缴配额清缴时限前1个月市场交易平均成交价格5-10倍罚款，拒不改正的核减下一年度配额并可责令停产；重点排放单位数据造假：没收违法所得并处5-10倍罚款（无违法所得处50-200万元），核减下一年度配额50%-100%，可责令停产，责任人员处5-20万元罚款；技术服务机构数据造假：责任人员5年或终身从业禁止；操纵市场：没收违法所得并处1-10倍罚款（无违法所得处50-500万元）,是，明确划分国务院生态环境主管部门与省级人民政府生态环境主管部门职责，要求省级部门制定重点排放单位名录、核查排放报告、发放配额，建立信用记录制度并纳入国家有关信用信息系统,3,1,1,1,2,1,1,1,预调研/政策文件/24_碳排放权交易管理暂行条例_2024公布.pdf,2024,central,regulation,11,5890,条例/法规,原生文本,1,1,0,1,0
25,25_建设项目环境保护管理条例_2017修订.pdf,0.567,0.567,pdfplumber,,建设项目环境保护管理条例（2017修订）,行政法规,中央,强制性,严厉,4,过程型,国务院,"[""命令控制型"", ""信息公开型""]","[""综合""]","[""工业""]","[""三同时制度"", ""环境影响评价制度""]","[""中华人民共和国环境影响评价法""]","[""未设定具体数值目标""]","""取消环保设施竣工验收行政许可，改为建设单位自主验收（第十七条）；简化环评管理，登记表由审批改为备案（第九条）；强化事中事后监管和信用管理（第二十条）；首次明确区域环境质量改善目标管理要求作为环评审批约束条件（第十一条第二项）""",未批先建按环评法处罚（第二十一条）；未落实环保措施处5-20万元罚款，逾期不改正处20-100万元罚款（第二十二条）；环保设施未验收或验收不合格即投产处20-100万元罚款，逾期不改正处100-200万元罚款，对责任人处5-20万元罚款，造成重大污染的责令停止生产或使用/责令关闭（第二十三条）；未公开验收报告处5-20万元罚款（第二十三条）,是，明确划分国务院、省级、县级环保部门审批权限和监管职责，实行分级管理（第十条、第九条），要求地方落实监督检查和行政处罚（第二十条、第二十二条、第二十三条），建立社会诚信档案（第二十条）,2,1,1,2,1,1,1,1,预调研/政策文件/25_建设项目环境保护管理条例_2017修订.pdf,2017,central,regulation,5,4474,条例/法规,原生文本,1,1,0,0,0
26,26_畜禽规模养殖污染防治条例_2013公布.pdf,0.646,0.646,pdfplumber,,畜禽规模养殖污染防治条例,行政法规,中央,强制性,严厉,4,产出型,国务院,"[""命令控制型"", ""经济激励型"", ""信息公开型"", ""自愿型""]","[""水污染物"", ""固体废物""]","[""畜禽养殖业""]","[""总量控制"", ""目标责任考核""]","[""中华人民共和国水污染防治法"", ""中华人民共和国固体废物污染环境防治法""]","[""未设定具体数值目标""]","""首部专门针对畜禽养殖污染防治的行政法规；建立系统化的污染防治规划制度；明确各部门职责分工（环保、农牧、循环经济部门）；建立激励与约束相结合的政策体系；引入自愿减排协议奖励机制""",在禁养区建设养殖场：一般区域处3-10万元罚款，饮用水水源保护区处10-50万元罚款，并责令拆除或关闭；未批先建处5-20万元罚款；设施未建成即投产或设施未正常运行处10万元以下罚款；超标排放或未经处理直接排放处5万元以下罚款并限期治理；相关责任人员依法给予处分或追究刑事责任,是，明确划分各级政府职责，县级以上人民政府负责组织领导，乡镇政府协助做好污染防治工作，要求地方制定配套实施细则,4,2,1,2,2,1,1,1,预调研/政策文件/26_畜禽规模养殖污染防治条例_2013公布.pdf,2013,central,regulation,5,5135,条例/法规,原生文本,1,1,1,0,1
27,27_城镇排水与污水处理条例_2013公布.pdf,0.68,0.68,pdfplumber,,城镇排水与污水处理条例,行政法规,中央,强制性,严厉,4,过程型,中华人民共和国国务院,"[""命令控制型"", ""经济激励型"", ""信息公开型""]","[""水污染物""]","[""工业"", ""建筑"", ""餐饮"", ""医疗""]","[""排水许可制度"", ""规划审批与备案"", ""运营合同管理"", ""费用征收与补贴"", ""监督检查与考核"", ""排污许可制度"", ""规划审批"", ""监督检查"", ""目标责任考核"", ""污水处理费制度"", ""污水排入排水管网许可制度"", ""污水处理费征收制度"", ""特许经营制度"", ""设施运行监督考核机制"", ""信息公开与社会监督""]","[""中华人民共和国水污染防治法""]","[""未设定具体数值目标""]","""首次系统规范城镇内涝防治与排水管理；建立污泥处理处置全过程跟踪记录制度；明确再生水利用优先领域；建立排水设施地理信息系统；实行污水处理运营服务费与污染物削减情况挂钩机制""",对违法排水行为最高罚款50万元；对不缴纳污水处理费的处应缴费用1-3倍罚款；对擅自停运污水处理设施的处10-50万元罚款；对造成设施损坏或安全事故的依法承担赔偿责任，构成犯罪的追究刑事责任,是，明确国务院住房城乡建设主管部门指导监督全国，县级以上地方人民政府负责本行政区域监督管理，要求地方制定规划并报上级备案，建立考核监督机制,3,1,4,15,1,1,1,1,预调研/政策文件/27_城镇排水与污水处理条例_2013公布.pdf,2013,central,regulation,20,11313,条例/法规,原生文本,1,1,1,0,0
28,28_消耗臭氧层物质管理条例_2023修订.pdf,0.58,0.58,pdfplumber,,消耗臭氧层物质管理条例（2023修订）,行政法规,中央,强制性,严厉,5,产出型,国务院,"[""命令控制型"", ""经济激励型"", ""信息公开型""]","[""消耗臭氧层物质（ODS）""]","[""制冷设备制造与维修"", ""化工"", ""气雾剂""]","[""配额许可证制度"", ""总量控制"", ""进出口审批管理""]","[""中华人民共和国大气污染防治法"", ""保护臭氧层维也纳公约"", ""关于消耗臭氧层物质的蒙特利尔议定书""]","[""未在条例正文中设定具体数值削减目标，但明确‘国家逐步削减并最终淘汰’ODS，具体目标通过《国家方案》和年度配额总量确定"", ""国家逐步削减并最终淘汰消耗臭氧层物质"", ""未设定具体数值目标，年度配额总量由国务院生态环境主管部门根据淘汰进展确定并公告""]","""将ODS管理全面纳入配额许可和总量控制框架；明确要求数量较大的单位安装自动监测设备并与主管部门联网；建立ODS数据信息管理系统；将行政处罚信息记入信用记录并公布。""",处罚条款全面且严厉：无证生产罚款100-500万；无证使用或将淘汰物质用于规定用途罚款20-100万；超配额生产使用罚款10-100万并可吊销许可证；销售给不合规单位处市场总价3倍罚款；泄漏排放、未回收处置、未安装联网监测设备等行为均有相应罚款（5-50万不等）并可责令停产停业；以不正当手段取得许可的，撤销许可并3年内不得再申请。,是，明确划分国务院生态环境主管部门与地方生态环境主管部门职责，建立逐级上报机制（第二十七条），上级部门可直接查处下级未查处案件（第二十八条），要求地方配合实施配额管理和监督检查,3,1,3,3,3,3,1,1,预调研/政策文件/28_消耗臭氧层物质管理条例_2023修订.pdf,2023,central,regulation,7,7448,条例/法规,原生文本,1,1,1,0,0
